row_index,sequence_id,label,group_id,fold_id,split_policy,group_size,grouping_method
24,legacy_bbb_000025,1,combined_similarity_00024,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
25,legacy_bbb_000026,1,combined_similarity_00025,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
26,legacy_bbb_000027,1,combined_similarity_00026,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
27,legacy_bbb_000028,1,combined_similarity_00027,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
28,legacy_bbb_000029,1,combined_similarity_00028,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
29,legacy_bbb_000030,1,combined_similarity_00029,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
30,legacy_bbb_000031,1,combined_similarity_00030,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
31,legacy_bbb_000032,1,combined_similarity_00031,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
32,legacy_bbb_000033,1,combined_similarity_00032,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
33,legacy_bbb_000034,1,combined_similarity_00033,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
34,legacy_bbb_000035,1,combined_similarity_00034,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
35,legacy_bbb_000036,1,combined_similarity_00035,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
36,legacy_bbb_000037,1,combined_similarity_00036,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
37,legacy_bbb_000038,1,combined_similarity_00037,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
38,legacy_bbb_000039,1,combined_similarity_00038,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
39,legacy_bbb_000040,1,combined_similarity_00039,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
40,legacy_bbb_000041,1,combined_similarity_00040,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
41,legacy_bbb_000042,1,combined_similarity_00041,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
42,legacy_bbb_000043,1,combined_similarity_00042,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
43,legacy_bbb_000044,1,combined_similarity_00043,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
44,legacy_bbb_000045,1,combined_similarity_00044,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
45,legacy_bbb_000046,1,combined_similarity_00045,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
46,legacy_bbb_000047,1,combined_similarity_00046,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
47,legacy_bbb_000048,1,combined_similarity_00047,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
48,legacy_bbb_000049,1,combined_similarity_00048,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
49,legacy_bbb_000050,1,combined_similarity_00049,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
50,legacy_bbb_000051,1,combined_similarity_00050,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
51,legacy_bbb_000052,1,combined_similarity_00051,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
52,legacy_bbb_000053,1,combined_similarity_00052,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
53,legacy_bbb_000054,1,combined_similarity_00053,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
54,legacy_bbb_000055,1,combined_similarity_00054,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
55,legacy_bbb_000056,1,combined_similarity_00055,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
56,legacy_bbb_000057,1,combined_similarity_00056,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
57,legacy_bbb_000058,1,combined_similarity_00057,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
58,legacy_bbb_000059,1,combined_similarity_00058,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
59,legacy_bbb_000060,1,combined_similarity_00059,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
60,legacy_bbb_000061,1,combined_similarity_00060,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
61,legacy_bbb_000062,1,combined_similarity_00061,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
62,legacy_bbb_000063,1,combined_similarity_00062,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
63,legacy_bbb_000064,1,combined_similarity_00063,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
64,legacy_bbb_000065,1,combined_similarity_00064,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
65,legacy_bbb_000066,1,combined_similarity_00065,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
66,legacy_bbb_000067,1,combined_similarity_00066,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
67,legacy_bbb_000068,1,combined_similarity_00067,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
68,legacy_bbb_000069,1,combined_similarity_00068,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
69,legacy_bbb_000070,1,combined_similarity_00069,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
70,legacy_bbb_000071,1,combined_similarity_00070,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
71,legacy_bbb_000072,1,combined_similarity_00071,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
72,legacy_bbb_000073,1,combined_similarity_00072,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
73,legacy_bbb_000074,1,combined_similarity_00073,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
74,legacy_bbb_000075,1,combined_similarity_00074,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
75,legacy_bbb_000076,1,combined_similarity_00075,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
76,legacy_bbb_000077,1,combined_similarity_00076,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
77,legacy_bbb_000078,1,combined_similarity_00077,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
78,legacy_bbb_000079,1,combined_similarity_00078,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
79,legacy_bbb_000080,1,combined_similarity_00079,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
80,legacy_bbb_000081,1,combined_similarity_00080,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
81,legacy_bbb_000082,1,combined_similarity_00081,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
82,legacy_bbb_000083,1,combined_similarity_00082,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
83,legacy_bbb_000084,1,combined_similarity_00083,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
84,legacy_bbb_000085,1,combined_similarity_00084,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
85,legacy_bbb_000086,1,combined_similarity_00085,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
86,legacy_bbb_000087,1,combined_similarity_00086,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
87,legacy_bbb_000088,1,combined_similarity_00087,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
88,legacy_bbb_000089,1,combined_similarity_00088,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
89,legacy_bbb_000090,1,combined_similarity_00089,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
90,legacy_bbb_000091,1,combined_similarity_00090,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
91,legacy_bbb_000092,1,combined_similarity_00091,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
92,legacy_bbb_000093,1,combined_similarity_00092,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
93,legacy_bbb_000094,1,combined_similarity_00093,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
94,legacy_bbb_000095,1,combined_similarity_00094,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
95,legacy_bbb_000096,1,combined_similarity_00095,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
96,legacy_bbb_000097,1,combined_similarity_00096,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
97,legacy_bbb_000098,1,combined_similarity_00097,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
98,legacy_bbb_000099,1,combined_similarity_00098,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
99,legacy_bbb_000100,1,combined_similarity_00099,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
100,legacy_bbb_000101,1,combined_similarity_00100,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
101,legacy_bbb_000102,1,combined_similarity_00101,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
102,legacy_bbb_000103,1,combined_similarity_00102,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
103,legacy_bbb_000104,1,combined_similarity_00103,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
104,legacy_bbb_000105,1,combined_similarity_00104,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
105,legacy_bbb_000106,1,combined_similarity_00105,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
106,legacy_bbb_000107,1,combined_similarity_00106,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
107,legacy_bbb_000108,1,combined_similarity_00107,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
108,legacy_bbb_000109,1,combined_similarity_00108,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
109,legacy_bbb_000110,1,combined_similarity_00109,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
110,legacy_bbb_000111,1,combined_similarity_00110,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
111,legacy_bbb_000112,1,combined_similarity_00111,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
112,legacy_bbb_000113,1,combined_similarity_00112,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
113,legacy_bbb_000114,1,combined_similarity_00113,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
114,legacy_bbb_000115,1,combined_similarity_00114,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
115,legacy_bbb_000116,1,combined_similarity_00115,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
116,legacy_bbb_000117,1,combined_similarity_00116,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
117,legacy_bbb_000118,1,combined_similarity_00117,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
118,legacy_bbb_000119,1,combined_similarity_00118,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
119,legacy_bbb_000120,1,combined_similarity_00119,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
120,legacy_bbb_000121,1,combined_similarity_00120,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
121,legacy_bbb_000122,1,combined_similarity_00121,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
122,legacy_bbb_000123,1,combined_similarity_00122,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
123,legacy_bbb_000124,1,combined_similarity_00123,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
124,legacy_bbb_000125,1,combined_similarity_00124,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
125,legacy_bbb_000126,1,combined_similarity_00125,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
126,legacy_bbb_000127,1,combined_similarity_00126,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
127,legacy_bbb_000128,1,combined_similarity_00127,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
128,legacy_bbb_000129,1,combined_similarity_00128,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
129,legacy_bbb_000130,1,combined_similarity_00129,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
130,legacy_bbb_000131,1,combined_similarity_00130,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
131,legacy_bbb_000132,1,combined_similarity_00131,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
132,legacy_bbb_000133,1,combined_similarity_00132,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
133,legacy_bbb_000134,1,combined_similarity_00133,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
134,legacy_bbb_000135,1,combined_similarity_00134,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
135,legacy_bbb_000136,1,combined_similarity_00135,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
136,legacy_bbb_000137,1,combined_similarity_00136,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
137,legacy_bbb_000138,1,combined_similarity_00137,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
138,legacy_bbb_000139,1,combined_similarity_00138,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
139,legacy_bbb_000140,1,combined_similarity_00139,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
140,legacy_bbb_000141,1,combined_similarity_00140,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
141,legacy_bbb_000142,1,combined_similarity_00141,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
142,legacy_bbb_000143,1,combined_similarity_00142,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
143,legacy_bbb_000144,1,combined_similarity_00143,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
144,legacy_bbb_000145,1,combined_similarity_00144,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
145,legacy_bbb_000146,1,combined_similarity_00145,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
146,legacy_bbb_000147,1,combined_similarity_00146,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
147,legacy_bbb_000148,1,combined_similarity_00147,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
148,legacy_bbb_000149,1,combined_similarity_00148,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
149,legacy_bbb_000150,1,combined_similarity_00149,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
150,legacy_bbb_000151,1,combined_similarity_00150,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
151,legacy_bbb_000152,1,combined_similarity_00151,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
152,legacy_bbb_000153,1,combined_similarity_00152,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
153,legacy_bbb_000154,1,combined_similarity_00153,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
154,legacy_bbb_000155,1,combined_similarity_00154,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
155,legacy_bbb_000156,1,combined_similarity_00155,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
156,legacy_bbb_000157,1,combined_similarity_00156,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
157,legacy_bbb_000158,1,combined_similarity_00157,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
158,legacy_bbb_000159,1,combined_similarity_00158,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
159,legacy_bbb_000160,1,combined_similarity_00159,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
160,legacy_bbb_000161,1,combined_similarity_00160,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
161,legacy_bbb_000162,1,combined_similarity_00161,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
162,legacy_bbb_000163,1,combined_similarity_00162,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
163,legacy_bbb_000164,1,combined_similarity_00163,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
164,legacy_bbb_000165,1,combined_similarity_00164,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
165,legacy_bbb_000166,1,combined_similarity_00165,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
166,legacy_bbb_000167,1,combined_similarity_00166,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
167,legacy_bbb_000168,1,combined_similarity_00167,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
168,legacy_bbb_000169,1,combined_similarity_00168,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
169,legacy_bbb_000170,1,combined_similarity_00169,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
170,legacy_bbb_000171,1,combined_similarity_00170,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
171,legacy_bbb_000172,1,combined_similarity_00171,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
172,legacy_bbb_000173,1,combined_similarity_00172,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
173,legacy_bbb_000174,1,combined_similarity_00173,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
174,legacy_bbb_000175,1,combined_similarity_00174,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
175,legacy_bbb_000176,1,combined_similarity_00175,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
176,legacy_bbb_000177,1,combined_similarity_00176,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
177,legacy_bbb_000178,1,combined_similarity_00177,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
178,legacy_bbb_000179,1,combined_similarity_00178,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
179,legacy_bbb_000180,1,combined_similarity_00179,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
180,legacy_bbb_000181,1,combined_similarity_00180,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
181,legacy_bbb_000182,1,combined_similarity_00181,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
182,legacy_bbb_000183,1,combined_similarity_00182,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
183,legacy_bbb_000184,1,combined_similarity_00183,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
184,legacy_bbb_000185,1,combined_similarity_00184,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
185,legacy_bbb_000186,1,combined_similarity_00185,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
186,legacy_bbb_000187,1,combined_similarity_00186,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
187,legacy_bbb_000188,1,combined_similarity_00187,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
188,legacy_bbb_000189,1,combined_similarity_00188,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
189,legacy_bbb_000190,1,combined_similarity_00189,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
190,legacy_bbb_000191,1,combined_similarity_00190,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
191,legacy_bbb_000192,1,combined_similarity_00191,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
192,legacy_bbb_000193,1,combined_similarity_00192,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
